Year,1-Jan,6-Jan,11-Jan,16-Jan,21-Jan,26-Jan,31-Jan,5-Feb,10-Feb,15-Feb,20-Feb,25-Feb,2-Mar,7-Mar,12-Mar,17-Mar,22-Mar,27-Mar,1-Apr,6-Apr,11-Apr,16-Apr,21-Apr,26-Apr,1-May,6-May,11-May,16-May,21-May,26-May,31-May,5-Jun,10-Jun,15-Jun,20-Jun,25-Jun,30-Jun,5-Jul,10-Jul,15-Jul,20-Jul,25-Jul,30-Jul,4-Aug,9-Aug
2006,0,0,0,0,0,0,0,0,7,4,7,19,11,3,1,3,7,0,3,3,2,2,3,5,1,10,10,8,1,17,13,39,20,47,41,54,5,8,4,11,9,15,6,7,14
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,16,18,3,20,9,7,48,10,11,8,20,18,18,77,35,0,6,11,11,10,10,1,3,14,9,13,3,0
2008,,0,0,0,0,4,2,0,0,0,0,0,13,20,6,5,3,5,6,7,3,13,12,11,27,10,11,11,15,24,22,32,17,21,22,18,48,42,9,7,9,12,11,22,10
2009,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,23,10,13,5,10,11,8,9,11,22,31,75,22,20,14,9,16,42,8,8,10,17,13,11,29,
2010,,,,,,,,,,,,,,,,,,2,11,0,0,26,24,12,30,15,9,13,12,20,42,16,29,39,9,14,14,-2,4,8,4,-3,4,4,0
2011,,,,,,2,7,50,15,6,9,3,9,4,9,6,2,12,10,6,9,6,13,13,9,14,12,18,21,11,75,19,22,5,14,4,6,3,9,14,1,1,1,1,0
2012,3,4,7,2,1,6,1,0,0,2,30,14,10,10,10,15,5,7,3,5,10,8,10,30,15,16,24,5,12,12,25,12,9,42,15,17,4,4,-7,6,-7,7,0,2,0
2013,,,,,,,,,,,,,,,,,,,,12,28,25,8,6,11,5,7,15,20,26,94,7,3,5,17,5,18,4,11,16,7,7,10,13,1
2014,,,,,,,,,3,0,0,0,1,0,0,0,2,8,55,26,10,23,15,7,25,28,19,29,22,22,98,7,9,7,4,14,21,17,10,,,,,,
2015,,,,,,,,,,,,,,,,,,,,107,8,10,10,10,3,4,13,13,12,40,80,2,8,10,15,10,25,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,150,14,25,8,123,8,20,7,10,35,72,29,6,16,21,8,4,19,26,3,-9,6,7,2,
2017,,,,,,,,,,,,,,,,,,,,8,47,53,21,18,24,26,33,19,39,36,103,18,8,2,3,17,21,24,3,6,0,4,0,0,
2018,,,,,,,,,,,,,,,,,,,28,24,25,66,32,-4,18,8,13,15,22,26,94,2,3,9,12,0,0,0,0,0,0,0,0,0,
2022,,,,,,,,,,,,,,,1,0,43,17,17,31,43,49,25,16,50,14,1,3,5,7,6,1,6,7,2,11,4,2,7,1,0,3,5,2,
2023,,,,,,,,,,,,,,,,1,35,24,20,27,25,25,18,29,53,21,11,6,6,13,8,17,14,26,4,4,4,15,3,0,0,0,0,0,
2024,0,0,0,0,0,0,0,0,45,33,24,16,15,10,11,8,13,12,32,38,16,27,27,2,2,5,25,3,3,13,16,20,15,9,38,7,7,6,39,22,3,1,0,0,0
